player,board,rank,points
Jerz_11#7908,Holocache,1,10
CornyB_Knights#3952,Aero Trails — Course 1,1,10
Lourde#2361,Aero Trails — Course 2,1,10
Witcher#3465,Aero Trails — Course 5,1,10
punkda84#1555,Aero Trails — Course 5,2,9
Lourde#2361,Calido Yellow — Kazekura Shinobi-X,1,10
Faux_Hubris#3960,Calido Yellow — Kazekura Shinobi-X,2,9
Lourde#2361,Calido Yellow — Rando's Metalworks Sunset Speeder,1,10
Faux_Hubris#3960,Calido Yellow — Valkyrie F9-R,1,10
HappybuildingB#3416,Calido Yellow — Valley Raceworx T1-B,1,10
MSPDriver#3454,Calido Yellow — Valley Raceworx T3 2023,1,10
Lourde#2361,Calido Red — Kazekura Shinobi-X,1,10
CornyB_Knights#3952,Calido Purple — Bubblejett Sprinter OG Custom 2022,1,10
Lourde#2361,Calido Purple — Kazekura Shinobi-X,1,10
